OTU	barcode01	barcode02	barcode13	barcode14	barcode25	barcode26	barcode37	barcode38	barcode49	barcode50	barcode61	barcode62	barcode73	barcode74	barcode85	barcode86	Kingdom	Phylum	Class	Order	Family	Genus	Species
FLASV19052.1359	3	15	8	1	5	5	4	9	0	8	0	5	2	0	1	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Steroidobacterales	 f__Steroidobacteraceae	 g__midas_g_1161	 s__midas_s_1306
FLASV19053.1327	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__midas_f_8354	 g__midas_g_11938	 s__midas_s_19053
FLASV19054.1303	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	 s__midas_s_1956
FLASV19058.1345	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Leucobacter	 s__midas_s_19058
FLASV19059.1352	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__midas_s_19059
FLASV19067.1309	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__Rhodoplanes	 s__midas_s_394
FLASV19068.1289	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__midas_g_2400	 s__midas_s_2400
FLASV19069.1354	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Giesbergeria	 s__midas_s_19069
FLASV1907.1425	0	1	0	2	2	2	1	1	1	1	0	1	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Intestinibacter	 s__Intestinibacter_bartlettii
FLASV19072.1344	1	4	0	0	0	0	0	4	1	3	0	4	3	0	4	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Haliscomenobacter	 s__Haliscomenobacter_hydrossis
FLASV19073.1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_3519
FLASV19075.1335	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Campylobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Sulfurimonadaceae	 g__Sulfurimonas	 s__midas_s_19075
FLASV19076.1310	0	6	1	4	1	11	1	4	0	17	2	5	5	0	1	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__midas_g_5429	 s__midas_s_5429
FLASV19077.1348	10	11	4	2	2	3	1	1	1	3	2	0	8	0	2	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Family_XI	 g__Gallicola	 s__midas_s_3041
FLASV19078.1362	1	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_vadinHA17	 g__midas_g_800	 s__midas_s_7434
FLASV19079.1346	3	0	5	0	5	0	5	3	4	1	6	1	16	1	22	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Ca_Epiflobacter	 s__midas_s_37
FLASV19081.1354	1	0	1	2	0	5	1	0	0	2	4	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__midas_s_19081
FLASV19084.1305	0	9	1	1	1	2	0	0	0	2	1	2	6	0	3	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Pedomicrobium	 s__midas_s_1303
FLASV19085.1340	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Intrasporangiaceae	 g__Tetrasphaera	 s__midas_s_299
FLASV19087.1347	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Leifsonia	 s__midas_s_8236
FLASV1909.1425	194	6	132	5	149	3	36	4	18	5	11	1	28	1	10	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__Ca_Caldilinea	 s__midas_s_868
FLASV19091.1352	5	0	1	0	4	0	0	0	0	0	1	0	0	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__M2PB4-65_termite_group	 g__midas_g_2475	 s__midas_s_4699
FLASV19093.1282	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Paracoccus	 s__midas_s_6992
FLASV19096.1359	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Azonexus	 s__midas_s_1978
FLASV19097.1324	6	0	2	2	2	3	2	3	3	1	3	1	10	1	8	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__midas_g_1668	 s__midas_s_1668
FLASV19099.1343	0	8	0	5	0	3	0	2	0	1	1	0	4	1	3	0	k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__CL500-29_marine_group	 s__midas_s_5447
FLASV1910.1475	118	0	118	0	54	0	6	8	7	13	4	1	1	0	4	0	k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__midas_f_1096	 g__midas_g_1096	 s__midas_s_1096
FLASV19102.1348	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 g__WCHB1-32	 s__midas_s_5348
FLASV19103.1356	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Acidovorax	 s__midas_s_19103
FLASV19104.1353	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Ignavibacteria	 o__SJA-28	 f__midas_f_31	 g__midas_g_31	 s__midas_s_19104
FLASV19108.1350	0	9	0	7	0	6	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__midas_g_81	 s__midas_s_19108
FLASV19111.1356	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Halomonadaceae	 g__Halomonas	 s__midas_s_1429
FLASV19114.1311	0	0	0	0	0	0	0	1	0	3	0	2	0	16	1	0	k__Bacteria	 p__Chloroflexi	 c__OLB14	 o__midas_o_731	 f__midas_f_731	 g__Ca_Amarobacter	 s__midas_s_731
FLASV19117.1350	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__midas_s_10373
FLASV1912.1443	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Gordonia	 s__midas_s_1912
FLASV19120.1325	0	2	0	0	0	0	2	0	2	0	0	1	0	1	3	0	k__Bacteria	 p__WPS-2	 c__midas_c_206	 o__midas_o_395	 f__midas_f_547	 g__midas_g_547	 s__midas_s_1718
FLASV19123.1303	2	7	1	0	0	0	1	4	1	4	0	3	1	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Hyphomicrobium	 s__midas_s_1257
FLASV19124.1354	6	1	3	3	3	8	0	2	0	7	1	1	2	0	1	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Acidovorax	 s__Acidovorax_delafieldii
FLASV19125.1341	0	8	0	1	0	1	0	2	0	2	4	1	9	0	7	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Runella	 s__midas_s_3183
FLASV19126.1348	4	1	4	0	2	1	0	0	0	0	0	0	3	0	2	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Family_XI	 g__Gallicola	 s__midas_s_7304
FLASV19128.1303	0	5	0	0	1	0	0	1	0	0	1	0	3	5	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Hyphomicrobium	 s__midas_s_1636
FLASV19129.1345	2	0	2	2	0	1	0	0	2	3	2	1	0	1	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Weeksellaceae	 g__Chryseobacterium	 s__Chryseobacterium_haifense
FLASV1913.1460	88	69	37	1	76	0	0	0	0	0	11	0	15	0	11	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 g__Nitrosomonas	 s__midas_s_1913
FLASV19130.1335	1	0	0	0	0	2	0	0	1	0	2	0	2	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium_sensu_stricto_1	 s__midas_s_64
FLASV19131.1355	2	2	1	0	1	1	1	5	0	9	0	1	0	0	2	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Hydrogenophaga	 s__midas_s_15974
FLASV19137.1359	0	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Azonexus	 s__midas_s_19137
FLASV19138.1344	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_19138
FLASV1914.1436	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__midas_g_1914	 s__midas_s_1914
FLASV19140.1344	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Microbacterium	 s__midas_s_3424
FLASV19146.1335	2	1	1	1	1	0	0	0	0	1	0	0	3	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium_sensu_stricto_1	 s__midas_s_101
FLASV19148.1402	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__midas_f_4774	 g__midas_g_17285	 s__midas_s_19148
FLASV1915.1458	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__midas_o_26	 f__midas_f_98	 g__midas_g_523	 s__midas_s_1915
