#OTU ID	barcode85	barcode26	barcode73	barcode13	barcode49	barcode01	barcode86	barcode37	barcode38	barcode14	barcode02	barcode62	barcode50	barcode61	barcode25	barcode74
Zotu1415	14	0	80	27	0	23	0	0	0	0	0	2	0	8	14	0
Zotu3681	5	0	3	5	0	5	0	5	1	0	2	2	5	3	6	0
Zotu1358	4	79	23	16	1	30	0	3	7	51	4	6	1	2	21	0
Zotu1028	43	25	14	19	3	20	0	5	7	27	9	10	49	17	44	1
Zotu3909	1	0	2	2	0	1	0	0	0	0	0	0	0	0	1	49
Zotu2127	13	0	26	0	1	0	0	0	5	2	5	3	7	8	0	0
Zotu3483	2	2	1	0	0	0	0	0	9	3	6	3	13	0	0	0
Zotu4368	5	8	0	0	0	1	0	5	2	6	1	1	6	0	0	3
Zotu3309	12	0	2	14	0	72	0	12	3	6	4	0	7	4	11	5
Zotu2558	18	0	14	4	1	10	0	8	8	0	5	16	41	4	5	0
Zotu2482	11	1	15	6	1	23	0	2	15	3	7	2	22	4	9	4
Zotu2576	7	6	8	1	0	1	0	0	6	11	139	3	14	5	0	3
Zotu2772	4	5	4	7	2	5	0	2	10	7	0	3	6	0	2	13
Zotu4309	5	1	5	0	1	0	0	0	0	3	0	0	0	3	0	0
Zotu3239	2	0	4	19	0	36	0	0	0	2	0	0	0	0	5	0
Zotu372	13	16	33	120	69	110	0	146	16	13	78	12	24	16	97	47
Zotu2429	5	2	3	7	0	2	0	10	1	0	8	3	4	2	2	7
Zotu296	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	888
Zotu3279	4	0	5	2	3	2	0	3	0	0	0	2	2	1	1	0
Zotu727	6	0	17	17	128	13	0	126	0	1	3	1	0	5	23	24
Zotu706	9	117	8	4	172	3	0	215	8	77	0	3	16	6	3	1
Zotu1095	12	33	20	16	8	30	1	4	19	29	1	13	29	6	22	15
Zotu1776	9	7	6	5	1	17	0	24	6	21	67	4	15	6	8	22
Zotu3145	12	3	15	8	1	19	0	2	0	6	0	0	3	6	5	0
Zotu1361	3	2	2	19	0	14	0	0	17	3	12	21	61	0	8	1
Zotu745	8	20	25	4	6	10	0	18	105	27	43	22	144	11	2	21
Zotu3516	1	2	2	0	0	0	0	0	2	0	7	7	10	1	0	1
Zotu3780	3	4	7	4	1	6	0	1	2	1	8	1	7	2	5	2
Zotu1330	7	4	10	15	2	24	0	3	0	7	8	1	5	9	13	0
Zotu2753	2	5	1	1	6	2	0	10	8	5	8	4	17	3	1	9
Zotu2976	7	0	2	0	0	0	0	0	6	0	0	14	15	2	0	0
Zotu1588	15	8	19	37	0	33	0	0	0	10	13	0	0	19	17	3
Zotu552	8	15	22	8	4	6	0	9	71	6	49	61	153	8	5	73
Zotu974	14	14	19	0	5	2	0	5	17	10	34	40	40	7	2	0
Zotu700	22	43	24	51	16	58	0	34	2	42	168	1	7	21	23	6
Zotu807	20	10	27	29	2	26	0	4	47	13	8	23	69	7	11	12
Zotu820	19	48	31	30	3	37	0	2	5	57	24	8	8	9	32	117
Zotu2215	6	6	10	13	2	16	0	3	6	7	9	0	3	5	7	4
Zotu919	9	3	17	14	7	12	0	11	32	0	41	20	76	6	13	0
Zotu2102	2	2	58	0	0	5	0	2	1	11	18	0	0	44	2	1
Zotu1523	14	16	27	19	0	19	0	0	3	20	25	1	8	16	10	22
Zotu1136	31	1	14	4	15	13	0	15	15	0	1	15	37	15	8	0
Zotu1984	11	2	13	4	6	5	0	11	0	2	11	0	5	6	5	12
Zotu1713	18	2	39	13	11	11	0	11	5	1	23	0	9	6	7	2
Zotu1520	3	4	4	9	2	12	0	3	25	13	33	20	26	2	3	1
Zotu1671	5	4	3	10	0	10	0	0	11	4	7	9	19	1	13	0
Zotu3564	8	5	16	5	0	14	0	0	10	6	14	0	7	9	8	2
Zotu3833	13	0	16	4	0	2	0	0	0	0	1	0	0	6	1	0
Zotu135	43	146	227	27	52	16	0	98	140	96	91	147	550	183	10	62
Zotu2755	3	0	4	6	1	11	0	3	4	0	13	6	12	3	4	30
Zotu3009	1	0	0	0	1	0	0	0	10	0	13	8	19	0	0	0
Zotu590	18	21	44	32	104	36	0	188	8	39	43	8	18	8	11	18
Zotu2343	6	0	3	3	0	2	0	0	0	0	2	0	0	4	1	70
Zotu2496	18	8	5	7	17	16	0	19	11	8	1	5	13	5	15	0
Zotu1018	14	20	26	9	7	21	0	14	39	14	8	23	77	9	7	31
Zotu2968	7	0	2	8	3	12	0	8	3	0	9	1	8	1	7	0
Zotu3119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	127
Zotu2683	8	5	3	5	0	6	0	1	7	1	3	1	6	7	5	8
Zotu1016	25	20	16	20	3	30	0	3	0	21	48	0	1	4	20	14
Zotu2763	11	2	40	10	0	7	0	0	0	1	1	0	0	2	1	0
Zotu3892	4	7	2	6	0	18	0	2	2	4	8	1	8	1	7	2
Zotu926	36	18	41	3	1	1	0	0	31	27	31	37	88	14	11	0
Zotu799	5	18	6	16	7	22	0	13	22	12	41	12	45	4	10	21
Zotu1674	3	0	6	31	0	38	0	1	1	0	0	0	1	0	39	0
Zotu633	25	33	28	63	24	43	0	44	12	39	14	9	28	13	42	17
Zotu1619	7	0	20	54	0	76	0	0	2	1	1	1	3	2	69	0
Zotu2104	33	1	15	14	3	19	0	7	21	2	1	16	36	8	7	1
Zotu1339	9	22	10	9	36	10	0	83	1	23	3	0	1	8	10	103
Zotu3499	3	1	1	6	0	2	0	0	5	0	1	6	15	1	1	1
Zotu1616	5	8	4	0	10	0	0	18	15	9	27	11	34	1	0	5
Zotu3005	4	2	3	4	1	3	0	1	1	5	8	0	0	0	3	6
Zotu864	23	18	40	5	20	5	0	16	36	30	16	40	91	15	6	29
Zotu1034	19	10	30	59	6	44	0	18	11	10	24	4	19	19	40	5
Zotu321	32	0	53	96	0	97	0	0	103	1	10	131	264	15	94	3
Zotu3413	5	10	4	5	2	14	0	3	8	4	4	3	8	5	5	0
Zotu1426	11	0	6	16	0	31	0	0	0	0	5	0	0	2	12	147
Zotu2031	7	11	11	10	0	7	0	5	11	15	10	6	18	2	0	23
Zotu868	4	2	1	8	5	4	0	3	35	0	2	30	89	3	1	21
Zotu2203	2	17	7	15	3	7	0	9	2	11	0	0	4	3	3	61
Zotu4084	10	4	4	5	6	5	0	16	0	9	10	0	1	2	3	1
Zotu2547	5	3	8	5	2	7	0	7	12	2	0	3	11	5	6	3
Zotu1645	8	7	5	24	3	9	0	5	7	11	23	7	9	2	12	3
Zotu1607	8	7	28	17	3	29	0	5	3	13	8	4	9	10	7	27
Zotu1234	15	16	24	17	3	24	0	3	2	7	8	1	7	9	20	32
Zotu4166	2	3	0	0	0	1	0	2	0	0	8	2	1	1	1	21
Zotu2814	12	4	17	16	0	15	0	0	1	4	3	0	4	5	24	5
Zotu3304	2	2	8	0	0	1	0	0	3	1	0	5	16	1	2	3
Zotu126	3	3	5	35	8	32	0	6	0	1	4	0	0	2	8	1749
